Hypocotyl colour,Stem determination,Days to 50% flowering,Flower colour,Leaf shape,Leaflet colour,Pubescence colour,Pubescence density,Pubescence type,Plant height,Number of primary branches,Pod colour,Number of pods per plant,Days to 80% maturity,Seed coat colour,Cotyledon colour,Hilum colour,Seed coat pattern,Strophiole at the hilum,Seed coat surface lusture,Number of seeds per pod,100 seed weight (g),Seed yield per plant (g),Days to pod initiation,Number of node per plant
1,0,45,2,1,2,2,3,0,44,3.4,2,48,104,3,1,1,0,1,0,2.2,6.6,3.52,55,12
1,2,57,2,1,2,2,1,1,40.8,5,1,45.4,103,3,1,1,0,1,0,2.4,6.7,3.8,68,13.4
1,2,57,2,1,2,2,1,1,84,4,1,39.6,106,3,1,1,0,1,0,2,7.8,0.76,67,13
1,2,58,2,1,2,2,1,1,82.6,4.2,1,64.8,113,0,1,0,0,0,0,2,6.7,3.72,71,15
1,0,53,2,1,1,2,1,1,40.2,4.8,1,35.6,111,3,1,1,0,1,1,2.2,7.4,3.04,60,9.8
0,0,40,3,1,1,2,0,1,29,3.8,2,46,109,3,1,0,0,1,0,2.2,8.3,4.12,51,10
1,2,59,2,1,2,2,1,1,48.4,5.6,2,115.6,106,0,1,0,0,0,1,2.2,5.4,8.64,71,9.4
0,0,40,3,1,1,2,1,2,24.8,4,1,35,114,2,1,1,0,1,1,2,7.9,3.48,51,10.6
1,2,53,2,1,2,1,1,1,51.4,5.4,2,62.2,106,3,1,0,0,1,0,2.2,7.7,3.28,59,14.2
0,0,51,3,1,2,1,2,2,36.8,9,1,88.4,112,3,1,1,0,1,0,2.2,8.5,6.28,60,13.8
0,2,52,3,1,2,2,1,1,46.4,2.2,1,24.2,114,3,1,1,0,1,0,2.2,9.2,2.06,58,10.8
1,0,44,2,1,1,2,1,2,41.6,4.4,1,52,91,3,1,1,0,1,0,2.4,6,4.76,57,13
0,0,53,3,1,2,2,0,2,24.8,4.8,1,84.2,111,3,1,0,0,1,1,2.4,10.5,14.66,62,8.4
1,2,43,2,2,1,0,1,2,40.4,3.2,2,44.2,112,3,1,6,0,1,1,1.8,9.4,4.26,56,16.2
1,2,54,2,1,1,2,3,0,34,4.4,3,33,109,3,1,1,1,1,0,1.8,8,2.74,60,10.2
1,2,40,2,1,1,0,1,1,31.2,5,3,50.4,108,3,1,1,1,1,0,2,11.9,6.18,50,12
0,0,45,3,1,1,0,0,2,44.66666667,4,3,59.66666667,115,3,1,6,0,1,1,2,9.7,3.06,58,10.66666667
1,0,44,1,1,1,2,1,2,56.8,3.4,1,48.2,110,4,1,1,1,1,1,2.2,7.6,4.62,57,14.6
0,0,41,3,1,1,2,0,1,29.6,3.6,2,22.4,113,3,1,1,0,1,0,1.8,8.6,2.26,51,9.6
0,0,46,3,1,1,2,0,1,27.2,3.2,1,43.8,109,3,1,1,0,1,0,2.4,10.2,10.56,58,11.2
0,0,47,3,1,0,2,3,0,28.2,4.8,2,67.2,105,3,1,0,1,1,1,2.6,9.3,13.8,58,11.4
0,0,43,3,1,2,2,1,0,22,4.6,1,31.8,113,3,1,1,0,1,1,2.4,8.5,5.22,55,9.2
1,0,45,2,1,1,2,3,0,34.8,3.6,2,52.4,109,3,1,0,0,1,0,2,6.7,3.84,57,10.2
0,0,51,3,1,1,2,0,1,33.8,3.6,2,39.8,109,3,1,1,0,1,0,2.6,10.2,7.38,60,12.6
